market,stock_no,stock_name,date,strategy,reason,score,score_label,score_reasons,volume_ratio,ma20_slope_pct,ma60_slope_pct,close,volume,ma5,ma10,ma20,ma60,source,chart_path
TWSE,2376,技嘉,2026-06-08,台積電策略,主升段回測月線,5,5/5,短中期均線維持多頭排列、月線與季線同步上揚、季線站在半年線之上、回測月線後收盤守住、低點貼近月線，回測位置乾淨,0.75,11.52,14.59,345.0,15202762,372.3,352.65,335.5,282.8333333333333,data/all_twse/2376_2025-06-02_2026-06-02.csv,
TWSE,2376,技嘉,2026-06-08,群聯策略,主升段回測月線,5,5/5,短中期均線維持多頭排列、月線與季線同步上揚、季線站在半年線之上、回測月線後收盤守住、低點貼近月線，回測位置乾淨,0.75,11.52,14.59,345.0,15202762,372.3,352.65,335.5,282.8333333333333,data/all_twse/2376_2025-06-02_2026-06-02.csv,
TWSE,2379,瑞昱,2026-06-08,群聯策略,周月季線上揚首次回測月線,5,5/5,短中期均線維持多頭排列、月線與季線同步上揚、季線站在半年線之上、收盤仍在季線上方、紅K收在當日相對高位,1.42,5.43,7.34,596.0,8437827,616.2,603.1,584.05,534.5166666666667,data/all_twse/2379_2025-06-02_2026-06-02.csv,
TWSE,2385,群光,2026-06-08,群聯策略,周月季線上揚首次回測月線,3,3/5,短中期均線維持多頭排列、月線與季線同步上揚、季線站在半年線之上、收盤仍在季線上方、K棒未轉弱,1.05,3.97,3.07,136.0,4546744,139.9,136.2,132.75,126.84166666666667,data/all_twse/2385_2025-06-02_2026-06-02.csv,
TWSE,2395,研華,2026-06-08,台積電策略,跌破月線且均線多頭,4,4/5,短中期均線維持多頭排列、月線與季線同步上揚、季線站在半年線之上、紅K收在當日相對高位,0.71,13.65,16.51,471.0,3763357,498.8,497.1,482.85,395.65,data/all_twse/2395_2025-06-02_2026-06-02.csv,
TWSE,2399,映泰,2026-06-08,台積電策略,跌破月線且均線多頭,3,3/5,短中期均線維持多頭排列、月線與季線同步上揚、季線站在半年線之上、K棒未轉弱,0.37,6.28,25.22,44.65,5471705,48.31999999999999,48.175000000000004,46.50500000000001,38.87416666666668,data/all_twse/2399_2025-06-02_2026-06-02.csv,
TWSE,2404,漢唐,2026-06-08,台積電策略,主升段回測月線,4,4/5,月線仍在季線之上、月線與季線同步上揚、季線站在半年線之上、回測月線後收盤守住、紅K收在當日相對高位,0.85,10.53,4.25,1110.0,4582659,1159.0,1185.5,1106.15,999.6333333333333,data/all_twse/2404_2025-06-02_2026-06-02.csv,
TWSE,2404,漢唐,2026-06-08,群聯策略,主升段回測月線,4,4/5,月線仍在季線之上、月線與季線同步上揚、季線站在半年線之上、回測月線後收盤守住、紅K收在當日相對高位,0.85,10.53,4.25,1110.0,4582659,1159.0,1185.5,1106.15,999.6333333333333,data/all_twse/2404_2025-06-02_2026-06-02.csv,
TWSE,2428,興勤,2026-06-08,台積電策略,主升段回測10MA,5,5/5,短中期均線維持多頭排列、月線與季線同步上揚、季線站在半年線之上、回測10MA後收盤守住、紅K收在當日相對高位,0.71,23.64,12.88,272.5,2079971,281.4,270.7,239.575,192.11666666666667,data/all_twse/2428_2025-06-02_2026-06-02.csv,
TWSE,2428,興勤,2026-06-08,群聯策略,主升段回測10MA,5,5/5,短中期均線維持多頭排列、月線與季線同步上揚、季線站在半年線之上、回測10MA後收盤守住、紅K收在當日相對高位,0.71,23.64,12.88,272.5,2079971,281.4,270.7,239.575,192.11666666666667,data/all_twse/2428_2025-06-02_2026-06-02.csv,
